english_name,iso3,cv_code,espeak_code,lineage,family_0,family_1,family_2
Afrikaans,afr,af,af,"['Indo-European', 'Classical Indo-European', 'Germanic', 'Northwest Germanic', 'West Germanic', 'Macro-Dutch', 'Middle-Modern Dutch', 'Modern Dutch', 'Global Dutch', 'Afrikaansic', 'Afrikaans']",Indo-European,Germanic,Macro-Dutch
Bulgarian,bul,bg,bg,"['Indo-European', 'Classical Indo-European', 'Balto-Slavic', 'Slavic', 'South Slavic', 'Eastern South Slavic', 'Macedo-Bulgarian', 'Bulgarian']",Indo-European,Balto-Slavic, Slavic
Catalan,cat,ca,ca,"['Indo-European', 'Classical Indo-European', 'Italic', 'Latino-Faliscan', 'Latinic', 'Imperial Latin', 'Romance', 'Italo-Western Romance', 'Western Romance', 'Shifted Western Romance', 'Southwestern Shifted Romance', 'Catalan']",Indo-European,Latino-Faliscan,Romance
Czech,ces,cs,cs,"['Indo-European', 'Classical Indo-European', 'Balto-Slavic', 'Slavic', 'West Slavic', 'Czech-Slovak', 'Czech']",Indo-European,Balto-Slavic,Slavic
Welsh,cym,cy,cy,"['Indo-European', 'Classical Indo-European', 'Celtic', 'Nuclear Celtic', 'Core Celtic', 'Insular Celtic', 'Brythonic', 'Old-Modern Welsh', 'Welsh']",Indo-European,Celtic,Brythonic
Danish,dan,da,da,"['Indo-European', 'Classical Indo-European', 'Germanic', 'Northwest Germanic', 'North Germanic', 'South Scandinavian', 'Danish']",Indo-European,Germanic,North Germanic
German,deu,de,de,"['Indo-European', 'Classical Indo-European', 'Germanic', 'Northwest Germanic', 'West Germanic', 'High German', 'Upper German', 'Middle-Modern High German', 'Modern High German', 'Upper Franconian', 'Global German', 'German']",Indo-European,Germanic,High German
Greek,ell,el,el,"['Indo-European', 'Classical Indo-European', 'Graeco-Phrygian', 'Greek', 'South Greek', 'Central Greek', 'Koineic Greek', 'Modern Koineic Greek', 'Nuclear Modern Greek', 'Modern Greek']",Indo-European,Graeco-Phrygian,Modern Koineic
English,eng,en,en,"['Indo-European', 'Classical Indo-European', 'Germanic', 'Northwest Germanic', 'West Germanic', 'North Sea Germanic', 'Anglo-Frisian', 'Anglic', 'Later Anglic', 'Middle-Modern English', 'Macro-English', 'English']",Indo-European,Germanic,Anglo-Frisian
English,eng,en,en-gb,"['Indo-European', 'Classical Indo-European', 'Germanic', 'Northwest Germanic', 'West Germanic', 'North Sea Germanic', 'Anglo-Frisian', 'Anglic', 'Later Anglic', 'Middle-Modern English', 'Macro-English', 'English']",Indo-European,Germanic,Anglo-Frisian
English,eng,en,en-sc,"['Indo-European', 'Classical Indo-European', 'Germanic', 'Northwest Germanic', 'West Germanic', 'North Sea Germanic', 'Anglo-Frisian', 'Anglic', 'Later Anglic', 'Middle-Modern English', 'Macro-English', 'English']",Indo-European,Germanic,Anglo-Frisian
English,eng,en,en-uk-north,"['Indo-European', 'Classical Indo-European', 'Germanic', 'Northwest Germanic', 'West Germanic', 'North Sea Germanic', 'Anglo-Frisian', 'Anglic', 'Later Anglic', 'Middle-Modern English', 'Macro-English', 'English']",Indo-European,Germanic,Anglo-Frisian
English,eng,en,en-uk-wmids,"['Indo-European', 'Classical Indo-European', 'Germanic', 'Northwest Germanic', 'West Germanic', 'North Sea Germanic', 'Anglo-Frisian', 'Anglic', 'Later Anglic', 'Middle-Modern English', 'Macro-English', 'English']",Indo-European,Germanic,Anglo-Frisian
English,eng,en,en-us,"['Indo-European', 'Classical Indo-European', 'Germanic', 'Northwest Germanic', 'West Germanic', 'North Sea Germanic', 'Anglo-Frisian', 'Anglic', 'Later Anglic', 'Middle-Modern English', 'Macro-English', 'English']",Indo-European,Germanic,Anglo-Frisian
English,eng,en,en-wi,"['Indo-European', 'Classical Indo-European', 'Germanic', 'Northwest Germanic', 'West Germanic', 'North Sea Germanic', 'Anglo-Frisian', 'Anglic', 'Later Anglic', 'Middle-Modern English', 'Macro-English', 'English']",Indo-European,Germanic,Anglo-Frisian
Esperanto,epo,eo,eo,"['Artificial Language', 'Artificial Language', 'Artificial Language']",Artificial Language,Artificial Language,Artificial Language
Estonian,est,et,et,"['Uralic', 'Finno-Ugric', 'Baltic-Finnic']",Uralic,Finno-Ugric,Baltic-Finnic
Persian,fas,fa,fa,"['Indo-European', 'Indo-Iranian', 'Iranian']",Indo-European,Indo-Iranian,Iranian
Persian,fas,fa,fa-pin,"['Indo-European', 'Indo-Iranian', 'Iranian']",Indo-European,Indo-Iranian,Iranian
Finnish,fin,fi,fi,"['Uralic', 'Finnic', 'Coastal Finnic', 'Neva', 'North Finnic', 'Nuclear Finnish', 'Finnish']",Uralic,Finnic,Coastal Finnic
French,fra,fr,fr-be,"['Indo-European', 'Classical Indo-European', 'Italic', 'Latino-Faliscan', 'Latinic', 'Imperial Latin', 'Romance', 'Italo-Western Romance', 'Western Romance', 'Shifted Western Romance', 'Northwestern Shifted Romance', 'Gallo-Rhaetian', 'Oil', 'Central Oil', 'Macro-French', 'Global French', 'French']",Indo-European,Latino-Faliscan,Romance
French,fra,fr,fr-fr,"['Indo-European', 'Classical Indo-European', 'Italic', 'Latino-Faliscan', 'Latinic', 'Imperial Latin', 'Romance', 'Italo-Western Romance', 'Western Romance', 'Shifted Western Romance', 'Northwestern Shifted Romance', 'Gallo-Rhaetian', 'Oil', 'Central Oil', 'Macro-French', 'Global French', 'French']",Indo-European,Latino-Faliscan,Romance
Irish,gle,ga-IE,ga,"['Indo-European', 'Classical Indo-European', 'Celtic', 'Nuclear Celtic', 'Core Celtic', 'Insular Celtic', 'Goidelic', 'Modern Goidelic', 'Irish']",Indo-European,Celtic,Goidelic
Hindi,hin,hi,hi,"['Indo-European', 'Classical Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Middle-Modern Indo-Aryan', 'Continental Indo-Aryan', 'Midlands Indo-Aryan', 'Shaurasenic', 'Indo-Aryan Central zone', 'Western Hindi', 'Hindustani', 'Hindi']",Indo-European,Indo-Iranian,Shaurasenic
Hungarian,hun,hu,hu,"['Uralic', 'Ugric', 'Hungaric']",Uralic,Ugric,Hungaric
Armenian,hye,hy-AM,hy,"['Indo-European', 'Classical Indo-European', 'Armenic', 'Eastern-Western Armenian', 'Eastern Armenian']",Indo-European,Classical Indo-European,Armenic
Armenian,hye,hy-AM,hy-west,"['Indo-European', 'Classical Indo-European', 'Armenic', 'Eastern-Western Armenian', 'Eastern Armenian']",Indo-European,Classical Indo-European,Armenic
Indonesian,ind,id,id,"['Austronesian', 'Malayo-Polynesian', 'Malayo-Chamic', 'Malayic', 'Nuclear Malayic', 'Standard Malay-Indonesian', 'Standard Indonesian']",Austronesian,Malayo-Polynesian,Malayo-Chamic
Icelandic,isl,is,is,"['Indo-European', 'Classical Indo-European', 'Germanic', 'Northwest Germanic', 'North Germanic', 'West Scandinavian', 'Icelandic-Faroese', 'Icelandic']",Indo-European,Germanic,West Scandinavian
Italian,ita,it,it,"['Indo-European', 'Classical Indo-European', 'Italic', 'Latino-Faliscan', 'Latinic', 'Imperial Latin', 'Romance', 'Italo-Western Romance', 'Italo-Dalmatian', 'Italian Romance', 'Italian']",Indo-European,Latino-Faliscan,Romance
Georgian,kat,ka,ka,"['Kartvelian', 'Karto-Zan', 'Georgic', 'Georgian']",Kartvelian,Karto-Zan,Georgic
