iso_code,iso3,name
afr,afr,afr
ara,ara,ara
bel,bel,bel
ber,ber,ber
cbk,cbk,cbk
ces,ces,ces
cmn,cmn,cmn
dan,dan,dan
deu,deu,deu
ell,ell,ell
eng,eng,eng
epo,epo,epo
fin,fin,fin
fra,fra,fra
grn,grn,grn
heb,heb,heb
hin,hin,hin
hun,hun,hun
ina,ina,ina
ind,ind,ind
ita,ita,ita
jpn,jpn,jpn
kab,kab,kab
klj,klj,klj
kor,kor,kor
lat,lat,lat
lfn,lfn,lfn
lij,lij,lij
lit,lit,lit
lvs,lvs,lvs
mar,mar,mar
mkd,mkd,mkd
nld,nld,nld
nno,nno,nno
oci,oci,oci
pam,pam,pam
pes,pes,pes
pol,pol,pol
por,por,por
prg,prg,prg
ron,ron,ron
run,run,run
rus,rus,rus
sat,sat,sat
shi,shi,shi
slk,slk,slk
slv,slv,slv
spa,spa,spa
srp,srp,srp
swe,swe,swe
tat,tat,tat
tgl,fil,tgl
tha,tha,tha
tig,tig,tig
tok,tok,tok
tur,tur,tur
ukr,ukr,ukr
vie,vie,vie
war,war,war
wuu,wuu,wuu
yid,yid,yid
yue,yue,yue
